category,task_name,avg_n_actions,std_n_actions
lists,filter-asset-list,17.3,6.5
lists,filter-change-request-list,18.7,4.7
lists,filter-hardware-list,18.4,5.6
lists,filter-incident-list,16.2,4.2
lists,filter-service-catalog-item-list,19.9,5.9
lists,filter-user-list,12.7,3.2
lists,sort-asset-list,7.4,2.3
lists,sort-change-request-list,7.7,1.6
lists,sort-hardware-list,8.0,2.3
lists,sort-incident-list,8.0,2.7
lists,sort-service-catalog-item-list,8.3,2.5
lists,sort-user-list,7.7,2.1
forms,create-change-request,21.5,6.2
forms,create-incident,23.0,7.9
forms,create-hardware-asset,47.1,10.9
forms,create-problem,10.0,3.4
forms,create-user,17.9,5.2
knowledge_bases,knowledge-base-search,4.0,0.0
service_catalogs,order-developer-laptop,8.7,0.9
service_catalogs,order-ipad-mini,6.0,0.0
service_catalogs,order-ipad-pro,6.0,0.0
service_catalogs,order-sales-laptop,9.0,0.8
service_catalogs,order-standard-laptop,8.0,0.6
service_catalogs,order-apple-watch,4.0,0.0
service_catalogs,order-apple-mac-book-pro15,4.0,0.0
service_catalogs,order-development-laptop-p-c,6.0,0.0
service_catalogs,order-loaner-laptop,8.0,0.0
menus,all-menu,3.0,0.0
menus,impersonation,7.0,0.0
dashboards,single-chart-value-retrieval,1.0,0.0
dashboards,single-chart-min-max-retrieval,1.0,0.0
dashboards,multi-chart-value-retrieval,2.0,0.0
dashboards,multi-chart-min-max-retrieval,2.0,0.0
